sn,log_hm,z,zerr,mB,mBerr,x1,x1err,x2,x2err,cov_mB_x1,cov_mB_x2,cov_x1_x2,is_log_mass_g_10
580275,11.33,0.3826,0.001,22.068219478118426,0.1176738999880917,2.252875847606389,2.9505629688733217,1.59661053416521,5.919740659120439,0.1362504003079729,0.5095427021501953,15.534433349821358,1.0
580300,9.477,0.2406,0.001,21.42650074034535,0.0612518780727544,-1.9620701151808253,0.8766741986637544,0.3438950164773218,0.9137372188189256,-0.0319839615655127,0.0272573197779989,0.2838581398166577,0.0
590005,6.0,0.1712,0.01,20.376714663184195,0.0249777109846308,0.0482505017545419,0.4419460458574748,0.1739763810681307,0.3933411496782908,-0.0035843839122591,0.0051372570738883,0.0992259808240751,0.0
200132,9.056,0.2088,0.01,20.83203013633746,0.0337400776205762,0.961065762264956,0.837924146610822,-0.1614349510249054,1.0500482052295166,0.0121333029263336,0.0290669205009751,0.713266659790781,0.0
10,10.786,0.2457,0.001,21.22639265905785,0.0326583700641415,1.8116200842339416,1.1227329152846923,0.9190365766041142,1.1309416750057273,0.0024603625185535,0.0186080210224478,1.0262784740166324,1.0
38,9.126,0.1505,0.001,19.855535125414413,0.0141826913673274,-0.7876041340915205,0.3927954458346482,-0.5772279376109473,0.2773302459039061,-0.0031001687141267,-0.000204752111692,0.0816970431036409,0.0
137,11.103,0.1187,0.001,19.801559779107134,0.0129799866741042,-0.6289362455977114,0.6240058769694027,1.2832496529074682,0.6648737685692436,0.0027613442481819,0.0039865120169636,0.335752973196568,1.0
174,10.532,0.2448,0.001,21.644280180876784,0.0265967167794674,-2.3872991383272044,0.6165282888963972,1.5866239949085268,0.8188963509227591,-0.0006062050407958,0.0139018690483378,0.3010537053881689,1.0
196,9.66,0.3503,0.001,21.91457614627123,0.023207406667095,0.8934786509634501,0.8287273142380687,0.4527148665233734,1.204343721414283,0.0012087119224749,0.0129547028727493,0.8823826087754605,0.0
202,9.943,0.6192,0.001,23.193192242946715,0.0815558484617208,-0.1496049503294659,3.3387867599728405,-1.4211287780050998,3.841398240418605,0.20913639788198,0.2882464614270651,11.711416740724344,0.0
220,11.335,0.2196,0.001,20.88827944659737,0.0160575245769308,-0.5734694390866211,0.340349470097249,-0.4260431881942227,0.4047651967828021,0.0001260242918086,0.0044441588921669,0.0859419240242383,1.0
